,Time,Vibration RMS Velocity,Temperature,Name,Datetime
610,25.7.2022 14:46:28,0.5,36.3,HVAC drive,2022-07-25 14:46:28
611,25.7.2022 14:47:52,0.73,26.4,air fan,2022-07-25 14:47:52
603,25.7.2022 14:49:14,0.16,30.4,humidifier Condair,2022-07-25 14:49:14
607,25.7.2022 14:49:42,0.66,29.0,control cabinet,2022-07-25 14:49:42
605,25.7.2022 14:50:55,0.34,29.3,control valve,2022-07-25 14:50:55
609,25.7.2022 15:46:33,0.52,37.0,HVAC drive,2022-07-25 15:46:33
606,25.7.2022 15:49:59,0.66,28.8,control cabinet,2022-07-25 15:49:59
604,25.7.2022 15:51:28,0.28,28.6,control valve,2022-07-25 15:51:28
602,25.7.2022 15:54:24,0.12,30.0,humidifier Condair,2022-07-25 15:54:24
603,25.7.2022 15:57:03,0.25,28.7,control valve,2022-07-25 15:57:03
608,25.7.2022 16:46:48,0.49,36.9,HVAC drive,2022-07-25 16:46:48
610,25.7.2022 16:52:17,0.69,26.2,air fan,2022-07-25 16:52:17
601,25.7.2022 16:54:44,0.12,29.8,humidifier Condair,2022-07-25 16:54:44
605,25.7.2022 16:54:49,0.7,28.8,control cabinet,2022-07-25 16:54:49
602,25.7.2022 16:57:59,0.35,28.5,control valve,2022-07-25 16:57:59
607,25.7.2022 17:47:14,0.54,36.9,HVAC drive,2022-07-25 17:47:14
609,25.7.2022 17:52:19,0.95,26.2,air fan,2022-07-25 17:52:19
604,25.7.2022 17:55:10,0.69,28.8,control cabinet,2022-07-25 17:55:10
600,25.7.2022 17:55:15,0.12,29.7,humidifier Condair,2022-07-25 17:55:15
601,25.7.2022 17:58:12,0.35,28.6,control valve,2022-07-25 17:58:12
606,25.7.2022 18:47:30,0.56,36.9,HVAC drive,2022-07-25 18:47:30
608,25.7.2022 18:52:22,0.84,26.1,air fan,2022-07-25 18:52:22
603,25.7.2022 18:55:22,0.69,28.8,control cabinet,2022-07-25 18:55:22
599,25.7.2022 18:55:35,0.12,29.6,humidifier Condair,2022-07-25 18:55:35
600,25.7.2022 18:58:22,0.43,28.5,control valve,2022-07-25 18:58:22
605,25.7.2022 19:47:44,0.48,36.8,HVAC drive,2022-07-25 19:47:44
